admin_request_id,created_at,completed_at,user_email,category,priority,status,subject,description
ADM-30134,2025-07-24 16:41:36,,staff997@novaedge.com,Meeting Room Booking,High,Assigned,New badge access required for Staff 425 to enter building after hours.,New badge access required for Staff 425 to enter building after hours.
ADM-30135,2024-12-24 01:26:38,2025-06-11 04:16:53,staff700@novaedge.com,Asset Request,High,Cancelled,Travel request: approval for client visit to Bengaluru next month.,Travel request: approval for client visit to Bengaluru next month.
ADM-30136,2025-11-09 10:32:47,2025-09-08 03:46:26,staff866@novaedge.com,Stationery,Low,Completed,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30137,2025-08-08 17:39:11,,staff892@novaedge.com,Meeting Room Booking,Low,Open,New badge access required for Staff 269 to enter building after hours.,New badge access required for Staff 269 to enter building after hours.
ADM-30138,2025-05-16 15:05:58,2024-12-24 09:53:24,staff290@novaedge.com,Visitor Request,Low,Completed,New badge access required for Staff 102 to enter building after hours.,New badge access required for Staff 102 to enter building after hours.
ADM-30139,2025-11-07 22:49:11,,staff305@novaedge.com,Asset Request,Low,Assigned,"Visitor incoming: Mr. Patel on 2025-11-18 for interview, needs access ","Visitor incoming: Mr. Patel on 2025-11-18 for interview, needs access card."
ADM-30140,2025-04-01 01:06:18,,staff989@novaedge.com,Badge Access,Medium,Open,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30141,2024-11-17 15:28:50,2025-02-19 07:04:13,staff130@novaedge.com,Stationery,Low,Completed,New badge access required for Staff 245 to enter building after hours.,New badge access required for Staff 245 to enter building after hours.
ADM-30142,2025-06-22 06:21:02,,staff199@novaedge.com,Meeting Room Booking,High,Open,Book meeting room A for 2025-11-28 10:00-11:00 for client meeting.,Book meeting room A for 2025-11-28 10:00-11:00 for client meeting.
ADM-30143,2025-07-21 01:17:48,2025-03-19 09:33:41,staff875@novaedge.com,Stationery,Medium,Cancelled,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30144,2025-09-28 20:21:41,2025-09-04 11:07:48,staff781@novaedge.com,Stationery,Low,Completed,Book meeting room A for 2025-12-10 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-10 10:00-11:00 for client meeting.
ADM-30145,2025-09-27 08:41:21,2025-02-24 04:20:19,staff842@novaedge.com,Meeting Room Booking,Medium,Cancelled,Requesting an additional monitor for staff842@novaedge.com.,Requesting an additional monitor for staff842@novaedge.com.
ADM-30146,2024-11-15 07:36:50,2025-07-05 01:43:29,staff562@novaedge.com,Travel Request,Low,Completed,New badge access required for Staff 264 to enter building after hours.,New badge access required for Staff 264 to enter building after hours.
ADM-30147,2025-06-23 15:26:49,2025-04-09 05:39:00,staff994@novaedge.com,Stationery,Low,Completed,New badge access required for Staff 348 to enter building after hours.,New badge access required for Staff 348 to enter building after hours.
ADM-30148,2025-08-09 04:28:34,2025-03-01 10:26:33,staff538@novaedge.com,Asset Request,Low,Completed,Travel request: approval for client visit to Bengaluru next month.,Travel request: approval for client visit to Bengaluru next month.
ADM-30149,2024-11-25 18:17:45,,staff990@novaedge.com,Visitor Request,High,Assigned,Travel request: approval for client visit to London next month.,Travel request: approval for client visit to London next month.
ADM-30150,2025-10-07 08:44:32,2025-10-28 18:27:06,staff952@novaedge.com,Badge Access,Low,Completed,New badge access required for Staff 448 to enter building after hours.,New badge access required for Staff 448 to enter building after hours.
ADM-30151,2024-12-22 16:07:02,,staff349@novaedge.com,Badge Access,High,Assigned,Travel request: approval for client visit to Bengaluru next month.,Travel request: approval for client visit to Bengaluru next month.
ADM-30152,2025-08-03 16:10:33,,staff434@novaedge.com,Travel Request,Low,Assigned,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30153,2024-12-17 04:28:22,,staff781@novaedge.com,Travel Request,Medium,Open,Travel request: approval for client visit to New York next month.,Travel request: approval for client visit to New York next month.
ADM-30154,2025-03-31 18:48:48,,staff689@novaedge.com,Travel Request,Medium,Assigned,Travel request: approval for client visit to San Francisco next month.,Travel request: approval for client visit to San Francisco next month.
ADM-30155,2025-02-03 18:30:30,2024-12-26 09:38:49,staff769@novaedge.com,Travel Request,High,Cancelled,New badge access required for Staff 495 to enter building after hours.,New badge access required for Staff 495 to enter building after hours.
ADM-30156,2025-06-11 06:16:22,,staff448@novaedge.com,Meeting Room Booking,Low,Open,"Visitor incoming: Mr. Garcia on 2026-01-01 for interview, needs access","Visitor incoming: Mr. Garcia on 2026-01-01 for interview, needs access card."
ADM-30157,2025-05-28 16:05:08,2025-09-19 08:57:43,staff690@novaedge.com,Visitor Request,Medium,Cancelled,Book meeting room A for 2026-01-01 10:00-11:00 for client meeting.,Book meeting room A for 2026-01-01 10:00-11:00 for client meeting.
ADM-30158,2025-06-17 19:24:02,2024-12-23 01:53:44,staff916@novaedge.com,Badge Access,Medium,Completed,Travel request: approval for client visit to London next month.,Travel request: approval for client visit to London next month.
ADM-30159,2025-07-20 08:50:09,2025-01-06 23:38:57,staff423@novaedge.com,Meeting Room Booking,High,Cancelled,"Visitor incoming: Mr. Smith on 2025-11-24 for interview, needs access ","Visitor incoming: Mr. Smith on 2025-11-24 for interview, needs access card."
ADM-30160,2025-02-21 23:38:50,,staff713@novaedge.com,Stationery,Low,Open,Travel request: approval for client visit to Bengaluru next month.,Travel request: approval for client visit to Bengaluru next month.
ADM-30161,2024-12-05 15:24:05,2025-09-05 21:38:39,staff746@novaedge.com,Travel Request,High,Cancelled,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30162,2025-10-17 03:03:57,,staff968@novaedge.com,Visitor Request,High,Assigned,Travel request: approval for client visit to Bengaluru next month.,Travel request: approval for client visit to Bengaluru next month.
ADM-30163,2025-03-17 07:54:57,2025-07-19 14:35:44,staff406@novaedge.com,Visitor Request,Medium,Cancelled,Requesting an additional monitor for staff406@novaedge.com.,Requesting an additional monitor for staff406@novaedge.com.
ADM-30164,2025-07-28 01:54:54,2025-06-02 04:46:15,staff173@novaedge.com,Stationery,Medium,Cancelled,Travel request: approval for client visit to Mumbai next month.,Travel request: approval for client visit to Mumbai next month.
ADM-30165,2025-04-30 04:11:16,2025-01-12 22:09:59,staff870@novaedge.com,Meeting Room Booking,Low,Completed,Book meeting room A for 2026-01-04 10:00-11:00 for client meeting.,Book meeting room A for 2026-01-04 10:00-11:00 for client meeting.
ADM-30166,2025-08-09 13:35:47,2024-11-17 12:12:14,staff398@novaedge.com,Visitor Request,Medium,Cancelled,"Visitor incoming: Mr. Patel on 2026-01-11 for interview, needs access ","Visitor incoming: Mr. Patel on 2026-01-11 for interview, needs access card."
ADM-30167,2025-10-18 03:50:04,,staff794@novaedge.com,Travel Request,High,Open,New badge access required for Staff 193 to enter building after hours.,New badge access required for Staff 193 to enter building after hours.
ADM-30168,2025-06-18 18:19:13,2025-11-03 03:00:41,staff283@novaedge.com,Meeting Room Booking,Medium,Cancelled,Travel request: approval for client visit to San Francisco next month.,Travel request: approval for client visit to San Francisco next month.
ADM-30169,2025-03-04 15:45:50,2025-06-19 18:31:30,staff350@novaedge.com,Travel Request,High,Cancelled,New badge access required for Staff 124 to enter building after hours.,New badge access required for Staff 124 to enter building after hours.
ADM-30170,2025-02-22 15:05:44,2025-07-10 14:11:43,staff894@novaedge.com,Visitor Request,High,Cancelled,New badge access required for Staff 399 to enter building after hours.,New badge access required for Staff 399 to enter building after hours.
ADM-30171,2025-02-04 06:38:02,,staff219@novaedge.com,Stationery,Low,Open,Travel request: approval for client visit to London next month.,Travel request: approval for client visit to London next month.
ADM-30172,2025-04-03 07:41:29,2025-11-14 03:48:06,staff380@novaedge.com,Asset Request,High,Cancelled,Requesting an additional monitor for staff380@novaedge.com.,Requesting an additional monitor for staff380@novaedge.com.
ADM-30173,2025-01-20 15:50:17,2025-09-06 20:55:34,staff685@novaedge.com,Travel Request,Medium,Completed,Book meeting room A for 2025-11-23 10:00-11:00 for client meeting.,Book meeting room A for 2025-11-23 10:00-11:00 for client meeting.
ADM-30174,2025-08-16 04:56:06,2025-01-28 21:35:08,staff165@novaedge.com,Meeting Room Booking,Medium,Cancelled,Travel request: approval for client visit to Bengaluru next month.,Travel request: approval for client visit to Bengaluru next month.
ADM-30175,2025-09-02 08:41:48,,staff982@novaedge.com,Travel Request,Low,Assigned,Requesting an additional monitor for staff982@novaedge.com.,Requesting an additional monitor for staff982@novaedge.com.
ADM-30176,2025-09-20 22:54:21,,staff688@novaedge.com,Meeting Room Booking,Low,Assigned,Requesting an additional monitor for staff688@novaedge.com.,Requesting an additional monitor for staff688@novaedge.com.
ADM-30177,2025-04-17 14:07:57,,staff618@novaedge.com,Meeting Room Booking,Low,Open,Requesting an additional monitor for staff618@novaedge.com.,Requesting an additional monitor for staff618@novaedge.com.
ADM-30178,2025-04-25 13:42:17,,staff407@novaedge.com,Travel Request,Low,Assigned,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30179,2025-01-29 18:23:49,2024-12-20 07:31:23,staff635@novaedge.com,Asset Request,Medium,Completed,Requesting an additional monitor for staff635@novaedge.com.,Requesting an additional monitor for staff635@novaedge.com.
ADM-30180,2025-06-21 22:59:16,,staff292@novaedge.com,Meeting Room Booking,Low,Open,"Visitor incoming: Mr. Smith on 2025-11-24 for interview, needs access ","Visitor incoming: Mr. Smith on 2025-11-24 for interview, needs access card."
ADM-30181,2025-02-15 05:43:02,2025-04-02 12:36:58,staff384@novaedge.com,Visitor Request,High,Completed,Book meeting room A for 2025-11-23 10:00-11:00 for client meeting.,Book meeting room A for 2025-11-23 10:00-11:00 for client meeting.
ADM-30182,2025-05-28 18:43:29,2024-12-09 22:17:29,staff185@novaedge.com,Visitor Request,Medium,Cancelled,Travel request: approval for client visit to Mumbai next month.,Travel request: approval for client visit to Mumbai next month.
ADM-30183,2025-06-22 23:31:07,,staff831@novaedge.com,Travel Request,Medium,Assigned,Travel request: approval for client visit to London next month.,Travel request: approval for client visit to London next month.
ADM-30184,2024-12-12 11:19:06,2024-12-29 15:53:06,staff906@novaedge.com,Badge Access,Low,Completed,Requesting an additional monitor for staff906@novaedge.com.,Requesting an additional monitor for staff906@novaedge.com.
ADM-30185,2025-01-06 14:03:02,2025-09-01 11:32:09,staff167@novaedge.com,Meeting Room Booking,High,Cancelled,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30186,2025-01-17 07:36:35,,staff486@novaedge.com,Stationery,Low,Open,Book meeting room A for 2025-11-29 10:00-11:00 for client meeting.,Book meeting room A for 2025-11-29 10:00-11:00 for client meeting.
ADM-30187,2025-06-03 11:42:47,2025-06-23 21:36:48,staff197@novaedge.com,Travel Request,Medium,Cancelled,Requesting an additional monitor for staff197@novaedge.com.,Requesting an additional monitor for staff197@novaedge.com.
ADM-30188,2025-06-03 12:50:49,2025-10-02 02:42:29,staff869@novaedge.com,Meeting Room Booking,Low,Completed,Travel request: approval for client visit to London next month.,Travel request: approval for client visit to London next month.
ADM-30189,2025-01-05 05:59:36,,staff365@novaedge.com,Badge Access,Medium,Assigned,"Visitor incoming: Mr. Garcia on 2025-11-15 for interview, needs access","Visitor incoming: Mr. Garcia on 2025-11-15 for interview, needs access card."
ADM-30190,2025-04-15 20:01:06,2025-04-30 06:24:49,staff154@novaedge.com,Asset Request,High,Completed,"Visitor incoming: Mr. Smith on 2026-01-12 for interview, needs access ","Visitor incoming: Mr. Smith on 2026-01-12 for interview, needs access card."
ADM-30191,2025-10-23 21:17:37,2025-10-01 21:09:34,staff614@novaedge.com,Badge Access,Medium,Cancelled,New badge access required for Staff 488 to enter building after hours.,New badge access required for Staff 488 to enter building after hours.
ADM-30192,2024-12-12 04:02:08,,staff412@novaedge.com,Visitor Request,Medium,Open,Book meeting room A for 2025-12-11 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-11 10:00-11:00 for client meeting.
ADM-30193,2025-10-19 11:24:10,,staff689@novaedge.com,Visitor Request,Low,Assigned,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30194,2025-07-26 21:38:56,,staff591@novaedge.com,Meeting Room Booking,Medium,Assigned,Travel request: approval for client visit to London next month.,Travel request: approval for client visit to London next month.
ADM-30195,2025-08-14 19:17:39,,staff951@novaedge.com,Badge Access,Low,Assigned,New badge access required for Staff 366 to enter building after hours.,New badge access required for Staff 366 to enter building after hours.
ADM-30196,2025-01-16 23:34:31,,staff721@novaedge.com,Visitor Request,High,Open,Requesting an additional monitor for staff721@novaedge.com.,Requesting an additional monitor for staff721@novaedge.com.
ADM-30197,2025-11-03 03:01:26,2025-03-17 12:43:13,staff152@novaedge.com,Stationery,Low,Completed,"Visitor incoming: Mr. Lee on 2025-12-12 for interview, needs access ca","Visitor incoming: Mr. Lee on 2025-12-12 for interview, needs access card."
ADM-30198,2024-11-14 23:46:32,,staff397@novaedge.com,Travel Request,Low,Open,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30199,2025-09-11 13:34:30,2024-11-27 02:33:44,staff322@novaedge.com,Travel Request,High,Cancelled,Travel request: approval for client visit to London next month.,Travel request: approval for client visit to London next month.
ADM-30200,2025-03-03 01:45:17,2024-12-23 06:57:36,staff158@novaedge.com,Badge Access,High,Cancelled,New badge access required for Staff 316 to enter building after hours.,New badge access required for Staff 316 to enter building after hours.
ADM-30201,2025-01-25 06:41:32,,staff511@novaedge.com,Stationery,High,Assigned,New badge access required for Staff 52 to enter building after hours.,New badge access required for Staff 52 to enter building after hours.
ADM-30202,2025-02-04 16:47:50,,staff520@novaedge.com,Asset Request,High,Assigned,"Visitor incoming: Mr. Lee on 2025-11-22 for interview, needs access ca","Visitor incoming: Mr. Lee on 2025-11-22 for interview, needs access card."
ADM-30203,2025-11-10 07:04:39,2025-07-11 17:12:46,staff473@novaedge.com,Badge Access,Medium,Completed,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30204,2024-12-24 13:38:02,,staff462@novaedge.com,Badge Access,Low,Assigned,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30205,2025-07-15 08:09:26,,staff504@novaedge.com,Stationery,Low,Assigned,Book meeting room A for 2025-12-11 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-11 10:00-11:00 for client meeting.
ADM-30206,2025-03-12 18:13:09,2025-08-20 04:16:59,staff221@novaedge.com,Badge Access,High,Completed,New badge access required for Staff 282 to enter building after hours.,New badge access required for Staff 282 to enter building after hours.
ADM-30207,2025-01-09 22:45:03,2025-05-15 16:12:40,staff234@novaedge.com,Badge Access,High,Cancelled,Book meeting room A for 2025-11-22 10:00-11:00 for client meeting.,Book meeting room A for 2025-11-22 10:00-11:00 for client meeting.
ADM-30208,2025-04-21 16:55:15,,staff794@novaedge.com,Travel Request,Low,Open,Requesting an additional monitor for staff794@novaedge.com.,Requesting an additional monitor for staff794@novaedge.com.
ADM-30209,2025-08-07 08:25:14,2025-01-21 09:05:55,staff184@novaedge.com,Stationery,Medium,Cancelled,Requesting an additional monitor for staff184@novaedge.com.,Requesting an additional monitor for staff184@novaedge.com.
ADM-30210,2025-07-28 02:13:58,2025-05-16 12:38:54,staff817@novaedge.com,Stationery,Low,Completed,New badge access required for Staff 102 to enter building after hours.,New badge access required for Staff 102 to enter building after hours.
ADM-30211,2025-11-10 16:05:47,,staff334@novaedge.com,Visitor Request,Low,Assigned,Book meeting room A for 2025-11-22 10:00-11:00 for client meeting.,Book meeting room A for 2025-11-22 10:00-11:00 for client meeting.
ADM-30212,2025-04-11 20:07:35,,staff731@novaedge.com,Visitor Request,Medium,Open,Book meeting room A for 2025-11-27 10:00-11:00 for client meeting.,Book meeting room A for 2025-11-27 10:00-11:00 for client meeting.
ADM-30213,2025-04-19 01:21:39,,staff327@novaedge.com,Stationery,High,Assigned,Book meeting room A for 2025-12-06 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-06 10:00-11:00 for client meeting.
ADM-30214,2025-02-12 07:38:54,,staff375@novaedge.com,Meeting Room Booking,Medium,Open,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30215,2025-02-24 10:23:56,,staff100@novaedge.com,Meeting Room Booking,Low,Open,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30216,2024-12-24 21:11:37,2025-07-16 08:11:00,staff289@novaedge.com,Asset Request,Low,Cancelled,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30217,2025-06-22 21:29:45,,staff439@novaedge.com,Travel Request,High,Assigned,Requesting an additional monitor for staff439@novaedge.com.,Requesting an additional monitor for staff439@novaedge.com.
ADM-30218,2025-07-01 23:08:12,2025-06-21 20:16:43,staff315@novaedge.com,Visitor Request,High,Completed,Book meeting room A for 2025-12-22 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-22 10:00-11:00 for client meeting.
ADM-30219,2025-10-23 22:31:43,,staff297@novaedge.com,Meeting Room Booking,High,Assigned,Book meeting room A for 2025-12-30 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-30 10:00-11:00 for client meeting.
ADM-30220,2024-11-30 03:59:18,2025-01-23 03:33:14,staff842@novaedge.com,Asset Request,Medium,Completed,Travel request: approval for client visit to Mumbai next month.,Travel request: approval for client visit to Mumbai next month.
ADM-30221,2025-04-26 20:54:26,2025-08-02 23:58:39,staff998@novaedge.com,Asset Request,High,Completed,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30222,2025-06-20 20:47:21,2025-07-26 11:20:58,staff529@novaedge.com,Badge Access,Low,Cancelled,Book meeting room A for 2025-12-18 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-18 10:00-11:00 for client meeting.
ADM-30223,2025-07-22 02:07:30,,staff679@novaedge.com,Visitor Request,Medium,Open,New badge access required for Staff 380 to enter building after hours.,New badge access required for Staff 380 to enter building after hours.
ADM-30224,2025-04-09 11:38:24,,staff548@novaedge.com,Asset Request,Low,Assigned,Requesting an additional monitor for staff548@novaedge.com.,Requesting an additional monitor for staff548@novaedge.com.
ADM-30225,2025-10-01 01:36:03,,staff103@novaedge.com,Stationery,Low,Assigned,Requesting an additional monitor for staff103@novaedge.com.,Requesting an additional monitor for staff103@novaedge.com.
ADM-30226,2025-06-03 17:02:42,2025-01-15 15:07:07,staff410@novaedge.com,Asset Request,Medium,Completed,Travel request: approval for client visit to San Francisco next month.,Travel request: approval for client visit to San Francisco next month.
ADM-30227,2025-02-20 21:12:44,,staff398@novaedge.com,Meeting Room Booking,High,Assigned,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30228,2025-07-03 02:30:18,,staff943@novaedge.com,Meeting Room Booking,High,Assigned,Book meeting room A for 2025-11-28 10:00-11:00 for client meeting.,Book meeting room A for 2025-11-28 10:00-11:00 for client meeting.
ADM-30229,2025-04-12 05:17:12,,staff822@novaedge.com,Stationery,Medium,Open,Travel request: approval for client visit to Mumbai next month.,Travel request: approval for client visit to Mumbai next month.
ADM-30230,2025-08-07 19:10:43,2025-02-24 06:17:08,staff158@novaedge.com,Asset Request,Medium,Completed,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30231,2025-09-27 17:37:44,,staff839@novaedge.com,Stationery,Low,Open,Travel request: approval for client visit to San Francisco next month.,Travel request: approval for client visit to San Francisco next month.
ADM-30232,2025-06-14 11:34:40,,staff936@novaedge.com,Travel Request,High,Assigned,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30233,2024-12-18 08:56:12,2025-01-19 10:15:42,staff337@novaedge.com,Badge Access,Low,Cancelled,"Visitor incoming: Mr. Lee on 2025-12-31 for interview, needs access ca","Visitor incoming: Mr. Lee on 2025-12-31 for interview, needs access card."
ADM-30234,2025-03-07 09:12:23,,staff683@novaedge.com,Visitor Request,Low,Assigned,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30235,2025-10-12 00:11:28,,staff171@novaedge.com,Visitor Request,Medium,Assigned,"Visitor incoming: Mr. Kumar on 2025-11-24 for interview, needs access ","Visitor incoming: Mr. Kumar on 2025-11-24 for interview, needs access card."
ADM-30236,2025-04-03 07:57:37,,staff844@novaedge.com,Badge Access,Low,Assigned,Book meeting room A for 2026-01-02 10:00-11:00 for client meeting.,Book meeting room A for 2026-01-02 10:00-11:00 for client meeting.
ADM-30237,2024-11-19 02:26:09,,staff235@novaedge.com,Meeting Room Booking,Low,Open,"Visitor incoming: Mr. Kumar on 2025-11-30 for interview, needs access ","Visitor incoming: Mr. Kumar on 2025-11-30 for interview, needs access card."
ADM-30238,2025-08-18 10:55:39,2025-10-05 21:32:31,staff973@novaedge.com,Meeting Room Booking,Low,Completed,"Visitor incoming: Mr. Kumar on 2025-12-30 for interview, needs access ","Visitor incoming: Mr. Kumar on 2025-12-30 for interview, needs access card."
ADM-30239,2025-07-01 04:58:45,2024-12-29 02:20:40,staff590@novaedge.com,Visitor Request,Medium,Completed,Requesting an additional monitor for staff590@novaedge.com.,Requesting an additional monitor for staff590@novaedge.com.
ADM-30240,2024-11-22 22:27:02,2025-04-19 01:54:34,staff205@novaedge.com,Meeting Room Booking,Low,Completed,Book meeting room A for 2025-12-17 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-17 10:00-11:00 for client meeting.
ADM-30241,2025-05-12 16:33:04,2025-11-10 19:19:52,staff331@novaedge.com,Visitor Request,Medium,Completed,Travel request: approval for client visit to Bengaluru next month.,Travel request: approval for client visit to Bengaluru next month.
ADM-30242,2025-10-17 04:28:58,2025-10-15 22:17:45,staff465@novaedge.com,Visitor Request,Low,Completed,Book meeting room A for 2025-11-19 10:00-11:00 for client meeting.,Book meeting room A for 2025-11-19 10:00-11:00 for client meeting.
ADM-30243,2025-07-20 04:02:20,,staff282@novaedge.com,Meeting Room Booking,High,Assigned,Requesting an additional monitor for staff282@novaedge.com.,Requesting an additional monitor for staff282@novaedge.com.
ADM-30244,2025-10-14 14:24:57,2025-07-13 16:58:22,staff739@novaedge.com,Visitor Request,High,Completed,Book meeting room A for 2026-01-06 10:00-11:00 for client meeting.,Book meeting room A for 2026-01-06 10:00-11:00 for client meeting.
ADM-30245,2025-03-11 01:38:44,,staff907@novaedge.com,Stationery,High,Open,Travel request: approval for client visit to Mumbai next month.,Travel request: approval for client visit to Mumbai next month.
ADM-30246,2025-01-05 23:29:35,2025-03-12 02:09:03,staff934@novaedge.com,Badge Access,Medium,Cancelled,New badge access required for Staff 296 to enter building after hours.,New badge access required for Staff 296 to enter building after hours.
ADM-30247,2025-06-21 19:28:22,2025-07-04 12:51:20,staff461@novaedge.com,Visitor Request,Low,Cancelled,New badge access required for Staff 218 to enter building after hours.,New badge access required for Staff 218 to enter building after hours.
ADM-30248,2025-05-12 23:23:29,,staff492@novaedge.com,Visitor Request,High,Assigned,Requesting an additional monitor for staff492@novaedge.com.,Requesting an additional monitor for staff492@novaedge.com.
ADM-30249,2025-07-28 19:18:01,2025-02-08 00:29:39,staff185@novaedge.com,Asset Request,Low,Cancelled,Requesting an additional monitor for staff185@novaedge.com.,Requesting an additional monitor for staff185@novaedge.com.
ADM-30250,2024-12-05 22:06:03,,staff471@novaedge.com,Meeting Room Booking,Low,Open,"Visitor incoming: Mr. Lee on 2025-12-20 for interview, needs access ca","Visitor incoming: Mr. Lee on 2025-12-20 for interview, needs access card."
ADM-30251,2025-02-10 16:28:49,,staff401@novaedge.com,Stationery,Medium,Assigned,Requesting an additional monitor for staff401@novaedge.com.,Requesting an additional monitor for staff401@novaedge.com.
ADM-30252,2025-07-26 06:14:11,,staff220@novaedge.com,Visitor Request,Low,Assigned,Travel request: approval for client visit to Bengaluru next month.,Travel request: approval for client visit to Bengaluru next month.
ADM-30253,2025-09-27 21:34:53,,staff818@novaedge.com,Badge Access,Medium,Open,New badge access required for Staff 38 to enter building after hours.,New badge access required for Staff 38 to enter building after hours.
ADM-30254,2025-09-13 12:21:31,2025-04-15 04:41:53,staff244@novaedge.com,Meeting Room Booking,Low,Completed,Book meeting room A for 2025-11-20 10:00-11:00 for client meeting.,Book meeting room A for 2025-11-20 10:00-11:00 for client meeting.
ADM-30255,2025-04-25 05:24:43,,staff866@novaedge.com,Visitor Request,Medium,Assigned,New badge access required for Staff 241 to enter building after hours.,New badge access required for Staff 241 to enter building after hours.
ADM-30256,2025-06-22 16:45:49,,staff393@novaedge.com,Travel Request,High,Open,Travel request: approval for client visit to Bengaluru next month.,Travel request: approval for client visit to Bengaluru next month.
ADM-30257,2025-07-31 20:07:34,,staff111@novaedge.com,Visitor Request,High,Assigned,New badge access required for Staff 349 to enter building after hours.,New badge access required for Staff 349 to enter building after hours.
ADM-30258,2025-11-04 08:45:16,2025-05-23 12:33:08,staff826@novaedge.com,Stationery,High,Completed,"Visitor incoming: Mr. Lee on 2025-11-29 for interview, needs access ca","Visitor incoming: Mr. Lee on 2025-11-29 for interview, needs access card."
ADM-30259,2025-09-10 09:20:47,,staff510@novaedge.com,Visitor Request,High,Assigned,New badge access required for Staff 113 to enter building after hours.,New badge access required for Staff 113 to enter building after hours.
ADM-30260,2025-09-12 02:56:43,,staff936@novaedge.com,Asset Request,High,Open,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30261,2024-12-12 13:48:22,2025-06-22 08:08:56,staff762@novaedge.com,Visitor Request,Low,Completed,Book meeting room A for 2025-12-12 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-12 10:00-11:00 for client meeting.
ADM-30262,2025-06-20 02:53:36,,staff388@novaedge.com,Stationery,Low,Assigned,Book meeting room A for 2025-11-25 10:00-11:00 for client meeting.,Book meeting room A for 2025-11-25 10:00-11:00 for client meeting.
ADM-30263,2025-11-05 15:46:20,,staff753@novaedge.com,Stationery,Low,Assigned,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30264,2025-11-07 01:44:51,2025-08-15 12:54:53,staff146@novaedge.com,Asset Request,Low,Cancelled,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30265,2025-07-28 15:28:36,,staff422@novaedge.com,Badge Access,High,Assigned,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30266,2025-06-16 11:51:38,2025-04-02 15:30:06,staff859@novaedge.com,Meeting Room Booking,Medium,Cancelled,"Visitor incoming: Mr. Kumar on 2025-12-17 for interview, needs access ","Visitor incoming: Mr. Kumar on 2025-12-17 for interview, needs access card."
ADM-30267,2025-10-27 22:53:28,2025-02-06 16:45:25,staff265@novaedge.com,Asset Request,Low,Completed,Travel request: approval for client visit to Bengaluru next month.,Travel request: approval for client visit to Bengaluru next month.
ADM-30268,2025-11-11 08:33:57,,staff887@novaedge.com,Visitor Request,High,Assigned,Requesting an additional monitor for staff887@novaedge.com.,Requesting an additional monitor for staff887@novaedge.com.
ADM-30269,2025-06-29 17:48:25,2025-10-23 07:50:22,staff558@novaedge.com,Asset Request,High,Completed,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30270,2025-06-09 02:15:16,2025-11-12 03:11:12,staff344@novaedge.com,Meeting Room Booking,High,Cancelled,Book meeting room A for 2025-11-28 10:00-11:00 for client meeting.,Book meeting room A for 2025-11-28 10:00-11:00 for client meeting.
ADM-30271,2024-12-18 12:38:30,,staff884@novaedge.com,Meeting Room Booking,Low,Assigned,Book meeting room A for 2026-01-09 10:00-11:00 for client meeting.,Book meeting room A for 2026-01-09 10:00-11:00 for client meeting.
ADM-30272,2024-12-16 17:51:04,2025-01-18 13:52:28,staff265@novaedge.com,Stationery,Low,Completed,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
